TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
POMO3;3,09;2,91;38,40;1,13;0,49;15,58;2,58;2,17;32,34;46,61;11,86;0,41;0,84;2,07;-1,05;1,81;2,94;1,28;1,45;0,43;0,56;0,59;5,56;0,36;1.716.507,93;2,73;0,08;-0,64;3.172.981.805,02
POMO4;3,45;2,61;42,87;1,26;0,55;15,58;2,58;2,17;36,11;46,61;11,86;0,41;0,93;2,31;-1,17;1,81;2,94;1,28;1,45;0,43;0,56;0,59;5,56;0,36;28.338.535,56;2,73;0,08;-0,71;3.172.981.805,02
POSI3;11,98;2,85;7,01;1,56;0,58;21,33;13,26;9,74;5,14;5,91;0,81;0,24;0,68;1,67;-2,76;1,77;22,33;8,21;13,52;0,37;0,63;0,84;3,53;;108.616.327,56;7,66;1,71;0,01;1.718.616.000,00
POWE3;16,25;0,33;153,02;1,55;1,01;6,92;2,80;0,82;44,88;24,06;-20,82;-0,72;1,26;1,89;-3,90;3,53;1,01;0,66;1,87;0,65;0,35;0,80;;;5.796.201,81;10,50;0,11;-1,73;1.436.270.793,12
PPAR3;14,60;;-18,95;0,02;0,01;;;;-8,78;10,33;19,11;-0,04;;0,45;-0,01;63,26;-0,09;-0,07;-0,20;0,70;0,30;0,00;;;;813,95;-0,77;0,17;1.080.400,00
PPLA11;7,60;;-497,48;3.565,24;18,33;;;;-497,48;-497,48;;;;;-3.565,24;1,00;-716,67;-3,68;;0,01;0,99;0,00;;;35.451,00;0,00;-0,02;5,00;21.532.194,90
PRIO3;19,55;;50,15;3,22;1,84;43,63;48,67;14,66;15,10;14,66;-0,44;-0,09;7,35;9,85;-3,27;1,74;6,42;3,67;13,51;0,57;0,43;0,25;49,72;32,61;254.538.831,48;6,07;0,39;-0,94;17.355.817.497,20
PRNR3;10,05;;-56,65;1,74;1,16;11,68;-6,01;-2,76;-26,02;-24,60;1,42;-0,09;1,56;3,42;-2,62;2,54;-3,06;-2,04;-9,73;0,67;0,33;0,74;;;4.172.718,74;5,79;-0,18;-0,26;390.020.135,08
PSSA3;52,02;4,23;9,58;1,94;0,46;100,00;8,48;9,26;10,46;4,38;-6,07;-1,12;0,89;5,14;-1,39;1,15;20,23;4,79;7,37;0,24;0,76;0,52;3,79;11,08;56.281.516,67;26,86;5,43;0,28;16.959.952.353,80
PTBL3;19,03;2,23;19,92;7,39;1,47;36,89;10,80;10,01;18,48;21,42;2,94;1,18;2,00;25,33;-2,63;1,15;37,11;7,39;10,69;0,20;0,80;0,74;4,66;19,48;56.704.144,07;2,57;0,96;0,11;2.968.509.024,81
PTCA11;0,00;;0,00;0,00;0,00;42,87;6,38;4,04;0,00;4,03;4,03;0,64;0,00;0,00;0,00;1,66;10,13;3,69;6,60;0,36;0,64;0,91;62,04;64,28;;13,54;1,37;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;42,87;6,38;4,04;0,00;4,03;4,03;0,64;0,00;0,00;0,00;1,66;10,13;3,69;6,60;0,36;0,64;0,91;62,04;64,28;;13,54;1,37;0,00;0,00
PTNT3;13,00;;23,47;2,13;0,80;16,23;7,77;4,49;13,57;11,18;2,36;0,37;1,05;4,04;-1,65;1,63;9,06;3,43;6,93;0,38;0,53;0,76;1,60;-29,08;276.279,19;6,12;0,55;1,09;409.045.378,28
PTNT4;6,18;;11,16;1,01;0,38;16,23;7,77;4,49;6,45;11,18;2,36;0,37;0,50;1,92;-0,79;1,63;9,06;3,43;6,93;0,38;0,53;0,76;1,60;-29,08;215.605,96;6,12;0,55;0,52;409.045.378,28
QUAL3;26,68;8,61;17,37;4,21;1,72;80,64;32,26;21,32;11,48;12,21;0,73;0,27;3,70;12,19;-2,76;1,60;24,23;9,93;15,54;0,41;0,59;0,47;3,21;10,41;62.673.276,04;6,34;1,54;0,91;7.603.063.480,25
QUSW3;0,00;;0,00;0,00;0,00;30,60;16,80;8,40;0,00;0,33;0,33;0,14;0,00;0,00;0,00;1,19;20,73;9,63;18,55;0,46;0,54;1,15;15,13;6,21;;61,97;12,85;0,00;0,00
QVQP3B;0,00;;0,00;0,00;0,00;;;;0,00;0,50;0,50;-1,09;;0,00;;8,44;-214,93;-189,47;-217,91;0,88;0,12;0,00;;;;0,00;0,00;0,00;0,00
RADL3;25,54;0,45;78,80;9,54;2,98;29,37;4,78;2,58;42,52;43,36;0,91;0,20;2,03;16,42;-6,19;1,54;12,11;3,78;13,82;0,31;0,68;1,47;17,66;7,84;150.580.657,07;2,68;0,32;-2,34;42.239.850.100,00
RAIL3;20,06;;50,13;2,46;0,90;33,19;30,11;10,18;16,95;22,30;5,41;0,78;5,10;10,91;-1,08;1,92;4,90;1,79;6,12;0,36;0,63;0,18;10,92;;167.580.613,89;8,16;0,40;0,91;36.916.301.528,81
RANI3;8,85;2,78;17,28;2,70;1,20;32,92;18,84;11,44;10,49;11,52;1,00;0,26;1,98;3,68;-2,17;3,64;15,60;6,92;11,95;0,44;0,56;0,61;6,30;184,81;16.729.082,89;3,28;0,51;-0,05;2.284.810.091,50
RANI4;5,50;1,06;10,74;1,68;0,74;32,92;18,84;11,44;6,52;11,52;1,00;0,26;1,23;2,28;-1,35;3,64;15,60;6,92;11,95;0,44;0,56;0,61;6,30;184,81;644.391,25;3,28;0,51;-0,03;2.284.810.091,50
RAPT3;12,72;4,78;5,53;2,01;0,46;26,37;20,38;13,03;3,53;5,02;1,36;0,77;0,72;1,60;-1,16;1,93;36,45;8,38;11,72;0,23;0,70;0,64;11,59;;467.298,30;6,31;2,30;0,02;4.569.048.346,71
RAPT4;13,37;4,54;5,81;2,12;0,49;26,37;20,38;13,03;3,71;5,02;1,36;0,77;0,76;1,68;-1,22;1,93;36,45;8,38;11,72;0,23;0,70;0,64;11,59;;57.422.388,89;6,31;2,30;0,02;4.569.048.346,71
RCSL3;6,27;;-79.235,43;-8,05;8,53;18,74;3,60;-0,02;360,71;192,78;-3,07;;13,00;-994,59;-18,63;0,98;-0,01;-0,01;-2,23;-1,06;2,06;0,66;117,05;;9.644.085,74;-0,78;0,00;793,81;260.142.964,50
RCSL4;1,97;;-24.895,34;-2,53;2,68;18,74;3,60;-0,02;113,33;192,78;-3,07;;4,08;-312,49;-5,86;0,98;-0,01;-0,01;-2,23;-1,06;2,06;0,66;117,05;;14.258.483,41;-0,78;0,00;249,41;260.142.964,50
RDNI3;11,95;0,08;45,78;0,84;0,30;23,01;6,91;3,26;21,61;38,24;16,63;0,65;1,49;1,62;-0,51;1,89;1,84;0,67;1,30;0,36;0,63;0,20;-10,68;-15,50;346.504,04;14,17;0,26;0,25;521.736.111,36
RDOR3;69,76;0,41;203,17;10,08;3,01;20,21;13,54;4,47;67,05;72,19;4,90;0,74;9,08;8,21;-5,48;5,33;4,96;1,48;5,35;0,30;0,69;0,33;;;126.238.574,70;6,92;0,34;36,07;140.464.353.119,85
RECV3;19,49;;-375,47;5,99;2,27;37,71;28,72;-5,24;68,57;81,18;12,57;1,10;19,69;-24,17;-2,63;0,59;-1,60;-0,60;3,30;0,38;0,62;0,12;;;15.251.461,96;3,25;-0,05;;4.874.590.933,16
REDE3;7,55;9,41;13,71;4,07;0,76;23,42;18,77;9,76;7,13;9,91;2,72;1,55;1,34;6,41;-1,15;1,55;29,70;5,56;12,24;0,19;0,74;0,57;6,59;23,64;133.022,04;1,85;0,55;0,14;15.890.735.006,22
RENT3;65,36;0,58;38,15;7,66;2,44;31,27;20,13;12,60;23,88;27,24;3,34;1,07;4,81;80,16;-3,25;1,14;20,07;6,40;9,31;0,32;0,68;0,51;21,28;21,10;287.156.208,04;8,54;1,71;0,73;49.778.167.552,10
RLOG3;23,08;;82,76;4,26;0,23;34,71;29,67;1,85;5,17;12,09;6,92;5,71;1,53;1,49;-0,31;2,64;5,15;0,28;5,46;0,05;0,71;0,15;50,58;42,36;105.214.775,75;5,41;0,28;-2,42;10.691.215.482,28
RNEW11;11,28;;8,26;-0,33;0,14;23,98;-40,89;56,44;-11,40;-54,74;-43,36;;4,66;0,68;-0,28;1,75;-4,04;1,72;-4,93;-0,43;1,43;0,03;-29,67;-28,28;1.075.029,78;-33,77;1,37;-0,08;376.869.480,38
RNEW3;4,13;;9,07;-0,37;0,16;23,98;-40,89;56,44;-12,53;-54,74;-43,36;;5,12;0,74;-0,30;1,75;-4,04;1,72;-4,93;-0,43;1,43;0,03;-29,67;-28,28;2.073.454,26;-11,26;0,46;-0,09;376.869.480,38
RNEW4;3,55;;7,80;-0,32;0,13;23,98;-40,89;56,44;-10,77;-54,74;-43,36;;4,40;0,64;-0,26;1,75;-4,04;1,72;-4,93;-0,43;1,43;0,03;-29,67;-28,28;3.704.353,52;-11,26;0,46;-0,07;376.869.480,38
ROMI3;25,08;8,25;11,91;2,21;1,03;31,66;12,38;14,99;14,42;16,64;2,18;0,33;1,79;3,45;-2,64;1,97;18,51;8,69;8,70;0,47;0,53;0,58;9,91;88,47;22.507.397,30;11,37;2,11;0,14;1.858.281.583,48
RPAD3;7,48;;23,02;0,61;0,61;96,15;105.607,69;105.830,77;23,07;24,28;-0,52;-0,01;24.362,44;51,69;-0,62;5,25;2,66;2,65;2,65;1,00;0,00;0,00;-12,49;-8,01;28.201,96;12,22;0,32;-0,67;680.988.255,63
RPAD5;8,71;6,26;26,81;0,71;0,71;96,15;105.607,69;105.830,77;26,86;24,28;-0,52;-0,01;28.368,56;60,19;-0,72;5,25;2,66;2,65;2,65;1,00;0,00;0,00;-12,49;-8,01;23.144,57;12,22;0,32;-0,78;680.988.255,63
RPAD6;6,08;;18,71;0,50;0,50;96,15;105.607,69;105.830,77;18,75;24,28;-0,52;-0,01;19.802,62;42,01;-0,50;5,25;2,66;2,65;2,65;1,00;0,00;0,00;-12,49;-8,01;9.361,67;12,22;0,32;-0,54;680.988.255,63
RPMG3;5,42;;-1,11;-0,11;0,11;-3,50;-20,06;-21,62;-1,20;-1,20;0,00;;0,24;-0,13;-1,51;0,53;-10,30;-9,68;9,55;-0,94;1,94;0,45;16,06;;1.771.927,41;-47,35;-4,87;-0,05;366.888.629,18
RRRP3;45,88;;-22,06;3,33;2,02;52,55;-33,72;-83,70;-54,77;-54,68;0,06;0,00;18,47;4,21;-4,35;9,50;-15,10;-9,16;-6,85;0,61;0,39;0,11;;;74.589.303,07;13,77;-2,08;-0,05;6.105.759.511,46
RSID3;12,58;;3,89;-0,38;0,14;44,00;-320,37;53,67;-0,65;-3,09;-2,44;;2,09;-0,17;-0,22;0,32;-9,81;3,49;-143,50;-0,36;1,37;0,07;-42,64;;1.894.403,56;-33,01;3,24;-0,03;215.788.979,46
RSUL3;0,00;;0,00;0,00;0,00;38,64;28,53;16,25;0,00;1,59;-0,01;-0,01;0,00;0,00;0,00;1,42;92,62;14,57;115,41;0,16;0,84;0,90;11,33;;;67,95;62,93;0,00;103.200.000,00
RSUL4;430,00;;6,83;6,33;1,00;38,64;28,53;16,25;3,89;1,59;-0,01;-0,01;1,11;8,30;-1,68;1,42;92,62;14,57;115,41;0,16;0,84;0,90;11,33;;168.923,73;67,95;62,93;0,07;103.200.000,00
SANB11;39,38;4,05;10,37;1,41;0,16;16,96;19,95;14,69;7,64;7,62;;;1,52;;-0,16;;13,56;1,51;;0,11;0,89;0,10;-2,12;6,46;113.704.025,44;28,00;3,80;-0,71;148.658.378.086,08
SANB3;18,98;4,00;10,00;1,36;0,15;16,96;19,95;14,69;7,37;7,62;;;1,47;;-0,16;;13,56;1,51;;0,11;0,89;0,10;-2,12;6,46;680.892,74;14,00;1,90;-0,69;148.658.378.086,08
SANB4;20,45;4,09;10,78;1,46;0,16;16,96;19,95;14,69;7,94;7,62;;;1,58;;-0,17;;13,56;1,51;;0,11;0,89;0,10;-2,12;6,46;1.096.525,37;14,00;1,90;-0,74;148.658.378.086,08
SAPR11;19,84;5,01;6,08;0,83;0,43;59,41;32,74;20,64;3,83;5,60;1,77;0,39;1,25;7,05;-0,51;1,60;13,73;7,08;10,58;0,52;0,48;0,34;10,07;17,84;40.126.076,26;23,79;3,27;-0,52;6.017.620.376,66
SAPR3;3,99;4,62;6,11;0,84;0,43;59,41;32,74;20,64;3,85;5,60;1,77;0,39;1,26;7,09;-0,52;1,60;13,73;7,08;10,58;0,52;0,48;0,34;10,07;17,84;4.079.124,22;4,76;0,65;-0,52;6.017.620.376,66
SAPR4;4,01;5,05;6,14;0,84;0,44;59,41;32,74;20,64;3,87;5,60;1,77;0,39;1,27;7,12;-0,52;1,60;13,73;7,08;10,58;0,52;0,48;0,34;10,07;17,84;17.470.519,85;4,76;0,65;-0,52;6.017.620.376,66
SBFG3;38,86;;-59,90;4,79;1,51;42,46;-3,90;-5,79;-88,91;-102,46;-14,15;0,76;3,47;6,69;-3,14;1,77;-7,99;-2,52;-5,85;0,32;0,68;0,44;;;45.060.606,44;8,12;-0,65;0,40;9.330.153.417,50
SBSP3;35,52;1,12;11,41;1,04;0,48;35,95;24,93;11,55;5,28;8,20;2,94;0,58;1,32;316,10;-0,54;1,01;9,14;4,18;9,10;0,46;0,54;0,36;8,73;12,66;101.913.764,63;34,07;3,11;3,57;24.332.951.336,40
SCAR3;39,01;0,94;23,45;1,44;0,76;80,74;64,47;27,48;10,00;14,59;4,60;0,66;6,44;8,19;-0,88;2,86;6,16;3,22;6,16;0,52;0,47;0,12;-6,59;-11,47;212.826,11;27,00;1,66;4,28;2.269.076.636,70
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;17,70;2,06;12,78;1,56;0,72;54,43;25,09;14,28;7,27;7,19;-0,06;-0,01;1,82;4,34;-1,05;2,13;12,24;5,66;13,60;0,46;0,54;0,40;4,15;0,49;18.722.270,30;11,32;1,39;0,15;2.288.669.336,80
SEQL3;25,82;;-2.084,69;9,00;2,22;20,68;3,48;-0,15;88,70;97,58;9,19;0,93;3,08;18,96;-3,80;1,39;-0,43;-0,11;2,66;0,25;0,75;0,72;;;39.254.777,33;2,87;-0,01;24,44;3.576.634.871,67
SGPS3;10,37;;-3,55;0,48;0,16;34,34;7,82;-8,79;3,99;9,88;5,91;0,70;0,31;1,72;-0,29;1,27;-13,42;-4,57;6,38;0,34;0,66;0,52;-7,50;;2.039.293,85;21,79;-2,92;0,07;520.500.000,00
SHOW3;5,92;;-3,77;2,10;0,78;-210,66;-778,33;-1.039,14;-5,04;-4,12;0,94;-0,39;39,19;4,99;-1,54;1,46;-55,74;-20,63;-29,33;0,37;0,64;0,02;-40,82;;12.464.373,93;2,82;-1,57;-0,03;407.846.405,45
SHUL3;111,97;0,24;130,23;25,88;10,42;22,37;14,02;12,95;120,24;59,50;2,02;0,43;16,86;24,95;-31,85;2,63;19,88;8,00;8,07;0,40;0,60;0,62;10,16;24,14;62.944,50;4,33;0,86;2,07;9.580.101.753,18
SHUL4;9,98;2,93;11,61;2,31;0,93;22,37;14,02;12,95;10,72;59,50;2,02;0,43;1,50;2,22;-2,84;2,63;19,88;8,00;8,07;0,40;0,60;0,62;10,16;24,14;8.045.495,15;4,33;0,86;0,18;9.580.101.753,18
SIMH3;59,02;0,58;30,08;5,34;0,38;23,16;14,96;4,02;8,09;16,49;8,47;5,59;1,21;1,23;-0,69;3,25;17,76;1,27;4,06;0,07;0,88;0,32;10,36;53,42;31.947.095,48;11,05;1,96;0,16;12.170.246.346,98
SLCE3;49,10;3,37;13,60;2,97;1,03;31,92;25,03;15,25;8,29;9,16;0,91;0,33;2,07;5,28;-2,12;1,61;21,84;7,55;13,84;0,35;0,63;0,50;17,07;33,35;65.072.793,19;16,53;3,61;0,14;9.392.521.600,00
SLED3;1,03;;-0,17;-0,12;0,23;21,69;-268,48;-291,25;-0,18;-0,85;-0,72;;0,49;-0,96;-0,42;0,65;-68,74;-136,19;122,90;-1,98;2,98;0,47;-32,61;;672.964,48;-8,89;-6,11;-0,01;47.359.063,57
SLED4;0,58;;-0,09;-0,07;0,13;21,69;-268,48;-291,25;-0,10;-0,85;-0,72;;0,28;-0,54;-0,23;0,65;-68,74;-136,19;122,90;-1,98;2,98;0,47;-32,61;;912.008,04;-8,89;-6,11;0,00;47.359.063,57
SMFT3;0,00;;0,00;0,00;0,00;-23,26;-60,07;-73,59;0,00;-2,96;-2,96;0,75;0,00;0,00;0,00;0,94;-30,91;-8,83;-13,44;0,29;0,71;0,12;18,59;;;109,53;-33,86;0,00;0,00
SMLS3;22,40;23,65;14,84;3,10;0,81;81,93;34,48;33,91;14,59;11,18;-3,41;-0,72;5,03;29,35;-2,10;1,05;20,86;5,49;11,32;0,26;0,74;0,16;;;25.865.505,33;7,24;1,51;-0,23;2.781.160.547,20
SMTO3;34,01;1,59;12,99;3,02;0,97;36,10;36,03;21,54;7,76;10,76;2,97;1,16;2,80;8,83;-1,31;1,74;23,26;7,47;12,76;0,32;0,68;0,35;12,98;34,98;50.335.450,70;11,26;2,62;0,29;12.114.267.678,38
SNSY3;16,00;;-1,01;-0,09;0,30;17,01;-5,56;-21,41;-3,87;-6,29;-4,01;;0,22;-0,92;-0,70;0,64;-8,82;-29,49;2,54;-3,34;4,38;1,38;4,14;;12.571,78;-180,48;-15,92;0,03;72.827.015,20
SNSY5;5,99;;-0,38;-0,03;0,11;17,01;-5,56;-21,41;-1,45;-6,29;-4,01;;0,08;-0,34;-0,26;0,64;-8,82;-29,49;2,54;-3,34;4,38;1,38;4,14;;88.720,44;-180,48;-15,92;0,01;72.827.015,20
SNSY6;13,33;;-0,84;-0,07;0,25;17,01;-5,56;-21,41;-3,22;-6,29;-4,01;;0,18;-0,76;-0,58;0,64;-8,82;-29,49;2,54;-3,34;4,38;1,38;4,14;;1.033,67;-180,48;-15,92;0,03;72.827.015,20
SOJA3;14,94;;2.457,97;16,51;3,90;22,73;13,26;0,53;97,56;106,04;8,22;1,39;12,94;31,00;-16,50;1,20;0,67;0,16;5,62;0,24;0,76;0,30;;;6.383.926,00;0,90;0,01;;1.772.333.132,38
SOMA3;16,23;;-692,50;4,64;3,11;62,29;-2,87;-0,87;-210,91;-204,88;4,48;-0,10;6,05;8,64;-6,84;2,92;-0,67;-0,45;-7,79;0,67;0,33;0,51;;;34.150.250,19;3,50;-0,02;5,77;7.857.057.543,16
SOND3;40,20;19,26;4,75;1,36;0,99;27,64;29,16;32,18;5,24;3,58;-2,11;-0,55;1,53;2,57;-2,21;3,28;28,74;20,82;24,71;0,72;0,28;0,65;-10,40;;4.020,00;29,46;8,47;0,02;107.377.745,00
SOND5;45,55;18,70;5,38;1,55;1,12;27,64;29,16;32,18;5,94;3,58;-2,11;-0,55;1,73;2,91;-2,51;3,28;28,74;20,82;24,71;0,72;0,28;0,65;-10,40;;16.963,80;29,46;8,47;0,02;107.377.745,00
SOND6;45,50;18,72;5,37;1,54;1,12;27,64;29,16;32,18;5,93;3,58;-2,11;-0,55;1,73;2,91;-2,50;3,28;28,74;20,82;24,71;0,72;0,28;0,65;-10,40;;16.065,00;29,46;8,47;0,02;107.377.745,00
SPRT3B;76,40;;-2.717,50;-2.795,73;34.713,49;;;;-2.958,01;-2.958,01;0,00;;;-2.588,38;-34.899,85;0,00;-102,88;-1.277,40;94,51;-12,42;13,42;0,00;;;;-0,03;-0,03;63,96;370.531.748,80
SQIA3;26,65;0,07;354,41;4,70;2,85;35,30;5,62;2,31;145,71;140,68;-4,98;-0,16;8,19;10,67;-4,76;3,00;1,32;0,81;1,53;0,61;0,39;0,35;22,77;-12,74;15.778.534,74;5,68;0,08;-0,90;1.900.584.995,28
STBP3;9,50;;269,65;3,85;1,90;27,96;11,70;2,98;68,65;62,96;-5,47;-0,31;8,03;9,88;-2,70;2,83;1,43;0,70;3,89;0,49;0,51;0,24;-0,73;;43.349.297,78;2,47;0,04;1,58;8.193.544.591,00
STKF3;0,00;;0,00;0,00;0,00;50,17;28,43;13,60;0,00;2,01;2,01;0,18;0,00;0,00;0,00;1,47;4,19;2,53;5,39;0,60;0,40;0,19;14,50;;;5,09;0,21;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;30,07;12,92;11,10;0,00;-0,45;-0,45;-0,12;0,00;0,00;0,00;2,81;23,86;13,03;17,80;0,55;0,45;1,17;22,02;;;2,29;0,55;0,00;0,00
SULA11;32,73;4,89;6,00;1,73;0,50;13,88;5,52;12,46;13,54;-1,10;-14,62;-1,87;0,75;1,25;-1,63;2,39;28,87;8,37;6,59;0,29;0,71;0,67;4,99;26,05;113.986.019,41;18,89;5,45;0,05;14.014.545.895,70
SULA3;12,06;4,43;6,64;1,92;0,56;13,88;5,52;12,46;14,97;-1,10;-14,62;-1,87;0,83;1,38;-1,80;2,39;28,87;8,37;6,59;0,29;0,71;0,67;4,99;26,05;329.864,70;6,30;1,82;0,05;14.014.545.895,70
SULA4;10,34;5,16;5,69;1,64;0,48;13,88;5,52;12,46;12,83;-1,10;-14,62;-1,87;0,71;1,18;-1,55;2,39;28,87;8,37;6,59;0,29;0,71;0,67;4,99;26,05;432.027,41;6,30;1,82;0,05;14.014.545.895,70
SUZB3;61,04;;-1.395,51;18,64;0,79;41,33;33,06;-0,18;7,76;13,98;6,22;14,93;2,57;8,58;-0,97;2,08;-1,34;-0,06;11,36;0,04;0,96;0,31;24,40;;418.822.838,19;3,28;-0,04;14,01;83.227.655.525,76
TAEE11;37,53;14,16;5,27;1,96;0,86;72,86;92,32;64,95;3,71;5,25;1,56;0,82;3,42;7,50;-1,04;2,93;37,20;16,34;22,82;0,44;0,56;0,25;18,22;20,00;62.564.779,07;19,15;7,13;0,05;12.922.154.001,57
TAEE3;12,53;14,14;5,28;1,96;0,86;72,86;92,32;64,95;3,71;5,25;1,56;0,82;3,43;7,51;-1,04;2,93;37,20;16,34;22,82;0,44;0,56;0,25;18,22;20,00;1.596.678,96;6,38;2,38;0,05;12.922.154.001,57
TAEE4;12,53;14,14;5,28;1,96;0,86;72,86;92,32;64,95;3,71;5,25;1,56;0,82;3,43;7,51;-1,04;2,93;37,20;16,34;22,82;0,44;0,56;0,25;18,22;20,00;3.675.842,59;6,38;2,38;0,05;12.922.154.001,57
TASA3;28,07;;5,75;18,33;1,66;44,74;27,80;24,13;4,99;6,00;0,99;3,63;1,39;6,81;-4,80;1,59;318,75;28,79;52,86;0,09;0,91;1,19;16,57;;2.245.612,00;1,53;4,88;-0,01;2.823.401.444,39
TASA4;28,41;;5,82;18,56;1,68;44,74;27,80;24,13;5,05;6,00;0,99;3,63;1,40;6,90;-4,85;1,59;318,75;28,79;52,86;0,09;0,91;1,19;16,57;;57.168.031,63;1,53;4,88;-0,01;2.823.401.444,39
TCNO3;5,11;;-222,57;307,54;0,14;;;;-222,57;-421,06;-220,64;304,89;;-0,34;-0,17;0,29;-138,18;-0,06;-0,45;0,00;1,00;0,00;;;3.018.320,48;0,02;-0,02;4,69;30.913.871,14
TCNO4;4,30;;-187,29;258,80;0,12;;;;-187,29;-421,06;-220,64;304,89;;-0,29;-0,15;0,29;-138,18;-0,06;-0,45;0,00;1,00;0,00;;;4.057.303,07;0,02;-0,02;3,95;30.913.871,14
TCSA3;8,03;;-4,45;0,79;0,33;-2,11;-61,48;-78,46;-5,68;-8,41;-2,75;0,38;3,49;1,63;-0,55;2,14;-17,72;-7,52;-8,20;0,42;0,56;0,10;-32,32;;11.137.824,85;10,18;-1,80;0,08;588.217.647,70
TECN3;2,96;;-15,77;0,74;0,38;47,32;1,32;-5,99;71,79;81,12;9,82;0,10;0,94;0,85;-0,93;4,36;-4,71;-2,44;0,42;0,52;0,48;0,41;-9,24;;14.741.584,56;3,98;-0,19;0,18;233.948.520,70
TEKA3;38,00;;-0,17;-0,01;0,02;17,69;2,48;-77,74;5,22;149,01;145,59;;0,13;-0,01;-0,02;0,03;-6,71;-11,32;0,19;-1,69;2,69;0,15;-1,38;;16.393,25;-3.400,32;-228,23;0,02;12.498.900,00
TEKA4;18,25;;-0,08;-0,01;0,01;17,69;2,48;-77,74;2,51;149,01;145,59;;0,06;0,00;-0,01;0,03;-6,71;-11,32;0,19;-1,69;2,69;0,15;-1,38;;79.065,41;-3.400,32;-228,23;0,01;12.498.900,00
TELB3;68,28;;-34,07;3,09;1,11;-76,28;-36,52;-50,18;-46,82;-32,79;6,89;-0,45;17,10;4,58;-1,62;4,42;-9,06;-3,26;-5,64;0,36;0,64;0,06;42,70;;94.145,32;22,12;-2,00;4,05;3.940.027.613,57
TELB4;29,90;;-14,92;1,35;0,49;-76,28;-36,52;-50,18;-20,50;-32,79;6,89;-0,45;7,49;2,01;-0,71;4,42;-9,06;-3,26;-5,64;0,36;0,64;0,06;42,70;;449.788,15;22,12;-2,00;1,77;3.940.027.613,57
TEND3;24,18;2,78;11,49;1,72;0,61;30,83;11,89;8,89;8,59;8,70;0,13;0,03;1,02;1,39;-1,82;2,88;14,95;5,27;9,86;0,35;0,65;0,59;21,81;46,40;21.589.805,52;14,08;2,10;-2,25;2.542.869.275,02
TESA3;47,98;;-13,00;2,02;0,51;19,09;16,93;-7,93;6,08;10,79;4,69;1,56;1,03;-1,69;-0,72;0,50;-15,52;-3,91;12,05;0,25;0,75;0,49;7,32;;4.906.492,04;23,80;-3,69;1,42;1.403.593.638,72
TFCO4;15,37;0,25;433,91;69,85;39,51;60,82;17,33;12,23;306,25;305,96;-0,29;-0,07;53,07;76,17;-159,14;3,23;16,10;9,11;13,37;0,57;0,43;0,74;;;1.707.298,48;0,22;0,04;8,39;14.627.853.722,99
TGMA3;25,32;2,09;22,41;2,59;1,58;19,03;11,29;7,72;15,32;15,11;-0,19;-0,03;1,73;5,25;-3,10;2,58;11,57;7,04;9,08;0,61;0,39;0,91;-2,05;49,24;12.972.432,63;9,77;1,13;-0,37;1.665.913.574,60
TIET11;12,54;6,78;5,78;2,67;0,52;93,99;84,49;41,75;2,86;5,44;2,59;2,42;2,41;9,09;-0,67;1,34;46,22;9,00;17,17;0,19;0,81;0,22;-5,19;1,09;31.123.800,68;4,69;2,17;0,03;5.004.795.800,93
TIET3;3,49;4,87;8,05;3,72;0,72;93,99;84,49;41,75;3,98;5,44;2,59;2,42;3,36;12,64;-0,94;1,34;46,22;9,00;17,17;0,19;0,81;0,22;-5,19;1,09;558.793,42;0,94;0,43;0,05;5.004.795.800,93
TIET4;3,51;4,84;8,09;3,74;0,73;93,99;84,49;41,75;4,00;5,44;2,59;2,42;3,38;12,71;-0,94;1,34;46,22;9,00;17,17;0,19;0,81;0,22;-5,19;1,09;1.764.454,32;0,94;0,43;0,05;5.004.795.800,93
TIMS3;11,21;5,28;13,85;1,16;0,66;53,27;16,63;11,26;9,38;11,36;1,99;0,25;1,56;12,65;-0,87;1,27;8,35;4,76;8,16;0,57;0,43;0,42;0,15;-2,43;77.446.297,15;9,69;0,81;-0,30;27.330.881.653,42
TKNO3;69,63;3,18;9,41;1,03;0,76;26,33;15,14;10,97;6,82;5,34;-0,82;-0,12;1,03;1,96;-1,93;2,74;10,94;8,03;10,39;0,73;0,27;0,73;8,49;;;67,66;7,40;0,09;185.362.444,72
